2025-03-13 17:28:50.7915 | search_tool_vector:151 | INFO | ChromaDB 客户端初始化成功，dbid=1903371656144
2025-03-13 17:28:50.7928 | search_tool_vector:161 | INFO | Embedding 函数初始化成功
2025-03-13 17:28:50.8534 | search_tool_vector:169 | INFO | 集合初始化成功：yunwei_knowledge
2025-03-13 17:28:50.8544 | search_tool_vector:320 | INFO | 工具接收的关键词：车位状态
2025-03-13 17:28:51.1431 | search_tool_vector:329 | INFO | 从API获取到 18 条数据
2025-03-13 17:28:51.1431 | search_tool_vector:231 | INFO | 去掉接口文档，总计 11 个文档，42 个文本块
2025-03-13 17:29:04.2313 | search_tool_vector:272 | INFO | 
成功存储 42 个文本块到向量数据库
2025-03-13 17:29:04.2313 | search_tool_vector:277 | INFO | 开始从chromadb查询关键词：车位状态
2025-03-13 17:30:39.0505 | search_tool_vector:151 | INFO | ChromaDB 客户端初始化成功，dbid=1533753371920
2025-03-13 17:30:39.0525 | search_tool_vector:158 | INFO | Embedding 函数初始化成功
2025-03-13 17:30:39.0975 | search_tool_vector:166 | INFO | 集合初始化成功：yunwei_knowledge
2025-03-13 17:30:39.0988 | search_tool_vector:317 | INFO | 工具接收的关键词：车位状态
2025-03-13 17:30:39.4344 | search_tool_vector:326 | INFO | 从API获取到 18 条数据
2025-03-13 17:30:39.4344 | search_tool_vector:228 | INFO | 去掉接口文档，总计 11 个文档，42 个文本块
2025-03-13 17:33:44.0414 | search_tool_vector:269 | INFO | 
成功存储 42 个文本块到向量数据库
2025-03-13 17:33:44.0424 | search_tool_vector:274 | INFO | 开始从chromadb查询关键词：车位状态
2025-03-13 17:43:42.0361 | search_tool_vector:151 | INFO | ChromaDB 客户端初始化成功，dbid=2696187179216
2025-03-13 17:43:42.0378 | search_tool_vector:158 | INFO | Embedding 函数初始化成功
2025-03-13 17:43:42.0388 | search_tool_vector:166 | INFO | 集合初始化成功：yunwei_knowledge
2025-03-13 17:43:42.0388 | search_tool_vector:317 | INFO | 工具接收的关键词：车位状态
2025-03-13 17:43:42.3314 | search_tool_vector:326 | INFO | 从API获取到 18 条数据
2025-03-13 17:43:42.3314 | search_tool_vector:228 | INFO | 去掉接口文档，总计 11 个文档，42 个文本块
2025-03-13 17:43:42.3494 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_9268_chunk_1
2025-03-13 17:43:42.3504 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_9724_chunk_1
2025-03-13 17:43:42.3515 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_1845_chunk_1
2025-03-13 17:43:42.3525 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_1845_chunk_2
2025-03-13 17:43:42.3535 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_1845_chunk_3
2025-03-13 17:43:42.3545 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8137_chunk_1
2025-03-13 17:43:42.3557 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8336_chunk_1
2025-03-13 17:43:42.3567 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8388_chunk_1
2025-03-13 17:43:42.3578 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_1
2025-03-13 17:43:42.3588 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_2
2025-03-13 17:43:42.3599 | search_tool_vector:242 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_3
